#    rad      RA           Dec          Plx       e        pmRA      e       pmDE      e      RUWE       Gmag       e        BPmag       e        RPmag       e       RVDR2    e   Tefftemp loggtemp
 1.8255  312.8831574359994  +44.3727839200678      0.0668  0.5584     -4.431  0.564     -5.623  0.788     1.008  20.608640  0.022062  21.203410  0.190400  19.058105  0.041862  9999.99 99.99   9999.9     99.9
 1.8291  312.8683475059300  +44.3156295922500  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  19.630070  0.024085  20.641644  0.165040  17.792658  0.020324  9999.99 99.99   9999.9     99.9
 1.8415  312.8233522995820  +44.3344938020214     -0.0993  0.4350     -3.406  0.454     -3.936  0.506     0.972  20.165619  0.005661  21.474382  0.157098  18.904547  0.037378  9999.99 99.99   9999.9     99.9
 1.8438  312.8741817021058  +44.3161961114983      1.3675  0.0149      3.202  0.016     -1.431  0.016     0.949  11.642144  0.002773  11.774845  0.002850  11.411952  0.003810  9999.99 99.99   9999.9     99.9
 1.8550  312.8533104185599  +44.3157287448505      2.1240  0.1291     13.961  0.134      9.663  0.144     0.960  18.381695  0.003217  19.657743  0.046719  17.271362  0.011257  9999.99 99.99   9999.9     99.9
 1.8566  312.8310686216696  +44.3251653657354      1.2333  0.0688     -0.863  0.078     -4.337  0.088     1.031  17.358831  0.022534  18.613874  0.065921  16.132658  0.058264  9999.99 99.99   9999.9     99.9
 1.8638  312.8202460503257  +44.3411883416539      0.0061  0.1310     -1.870  0.148     -2.350  0.149     1.318  17.563438  0.009173  21.147419  0.147750  15.814542  0.023229  9999.99 99.99   9999.9     99.9
 1.8672  312.9059261871209  +44.3401254246700     -0.3237  1.0318     -0.340  1.139     -2.637  1.572     1.091  20.691065  0.011296  21.557432  0.298832  19.477318  0.106821  9999.99 99.99   9999.9     99.9
 1.8718  312.8460946084554  +44.3172030063855     -0.5026  0.5205     -2.666  0.515     -3.660  0.544     1.057  20.202840  0.007632  21.463223  0.221409  18.843296  0.038913  9999.99 99.99   9999.9     99.9
 1.8732  312.8398333388400  +44.3195039983200  99999.9999 99.9999  99999.999 99.999  99999.999 99.999  9999.999  21.057150  0.017398  23.001370  0.218724  19.812271  0.142047  9999.99 99.99   9999.9     99.9
 1.8733  312.9066857705517  +44.3431713325173      0.3705  0.4493     -5.405  0.509     -9.491  0.530     1.045  20.160542  0.005598  21.549309  0.198670  18.973879  0.041864  9999.99 99.99   9999.9     99.9
 1.8753  312.8729893888401  +44.3763886322064      1.2634  0.7227     -5.285  0.768     -8.854  0.882     1.107  20.572475  0.008463  21.148977  0.165700  19.445072  0.049713  9999.99 99.99   9999.9     99.9
 1.8786  312.8581354417330  +44.3770158939075      0.9055  1.5216     -3.894  1.386     -6.039  1.080     0.997  20.790200  0.011650  21.867102  0.230474  19.280851  0.070066  9999.99 99.99   9999.9     99.9
 1.8955  312.8300709568423  +44.3668152695382      0.6373  0.4579     -6.587  0.481     -6.407  0.503     1.053  20.150383  0.006435  21.134005  0.150368  19.027212  0.038936  9999.99 99.99   9999.9     99.9
